"class_code","group"
"G01R  31/28038","IPC3"
"G01R  31/28039","IPC3"
"G01R  31/2804","IPC3"
"G01R  31/28041","IPC3"
"G01R  31/28042","IPC3"
"G01R  31/28043","IPC3"
"G01R  31/28044","IPC3"
"G01R  31/28045","IPC3"
"G01R  31/28046","IPC3"
"G01R  31/28047","IPC3"
"G01R  31/28048","IPC3"
"G01R  31/28049","IPC3"
"G01R  31/2805","IPC3"
"G01R  31/28051","IPC3"
"G01R  31/28052","IPC3"
"G01R  31/28053","IPC3"
"G01R  31/28054","IPC3"
"G01R  31/28055","IPC3"
"G01R  31/28056","IPC3"
"G01R  31/28057","IPC3"
"G01R  31/28058","IPC3"
"G01R  31/28059","IPC3"
"G01R  31/2806","IPC3"
"G01R  31/28061","IPC3"
"G01R  31/28062","IPC3"
"G01R  31/28063","IPC3"
"G01R  31/28064","IPC3"
"G01R  31/28065","IPC3"
"G01R  31/28066","IPC3"
"G01R  31/28067","IPC3"
"G01R  31/28068","IPC3"
"G01R  31/28069","IPC3"
"G01R  31/2807","IPC3"
"G01R  31/28071","IPC3"
"G01R  31/28072","IPC3"
"G01R  31/28073","IPC3"
"G01R  31/28074","IPC3"
"G01R  31/28075","IPC3"
"G01R  31/28076","IPC3"
"G01R  31/28077","IPC3"
"G01R  31/28078","IPC3"
"G01R  31/28079","IPC3"
"G01R  31/2808","IPC3"
"G01R  31/28081","IPC3"
"G01R  31/28082","IPC3"
"G01R  31/28083","IPC3"
"G01R  31/28084","IPC3"
"G01R  31/28085","IPC3"
"G01R  31/28086","IPC3"
"G01R  31/28087","IPC3"
"G01R  31/28088","IPC3"
"G01R  31/28089","IPC3"
"G01R  31/2809","IPC3"
"G01R  31/28091","IPC3"
"G01R  31/28092","IPC3"
"G01R  31/28093","IPC3"
"G01R  31/28094","IPC3"
"G01R  31/28095","IPC3"
"G01R  31/28096","IPC3"
"G01R  31/28097","IPC3"
"G01R  31/28098","IPC3"
"G01R  31/28099","IPC3"
"G01R  31/281","IPC3"
"G01R  31/28101","IPC3"
"G01R  31/28102","IPC3"
"G01R  31/28103","IPC3"
"G01R  31/28104","IPC3"
"G01R  31/28105","IPC3"
"G01R  31/28106","IPC3"
"G01R  31/28107","IPC3"
"G01R  31/28108","IPC3"
"G01R  31/28109","IPC3"
"G01R  31/2811","IPC3"
"G01R  31/28111","IPC3"
"G01R  31/28112","IPC3"
"G01R  31/28113","IPC3"
"G01R  31/28114","IPC3"
"G01R  31/28115","IPC3"
"G01R  31/28116","IPC3"
"G01R  31/28117","IPC3"
"G01R  31/28118","IPC3"
"G01R  31/28119","IPC3"
"G01R  31/2812","IPC3"
"G01R  31/28121","IPC3"
"G01R  31/28122","IPC3"
"G01R  31/28123","IPC3"
"G01R  31/28124","IPC3"
"G01R  31/28125","IPC3"
"G01R  31/28126","IPC3"
"G01R  31/28127","IPC3"
"G01R  31/28128","IPC3"
"G01R  31/28129","IPC3"
"G01R  31/2813","IPC3"
"G01R  31/28131","IPC3"
"G01R  31/28132","IPC3"
"G01R  31/28133","IPC3"
"G01R  31/28134","IPC3"
"G01R  31/28135","IPC3"
"G01R  31/28136","IPC3"
"G01R  31/28137","IPC3"
"G01R  31/28138","IPC3"
"G01R  31/28139","IPC3"
"G01R  31/2814","IPC3"
"G01R  31/28141","IPC3"
"G01R  31/28142","IPC3"
"G01R  31/28143","IPC3"
"G01R  31/28144","IPC3"
"G01R  31/28145","IPC3"
"G01R  31/28146","IPC3"
"G01R  31/28147","IPC3"
"G01R  31/28148","IPC3"
"G01R  31/28149","IPC3"
